date,pm25_ug_m3
2021-05-25,5
2021-05-26,9
2021-05-27,9
2021-05-28,10
2021-05-29,8
2021-05-30,10
2021-05-31,12
2021-06-01,14
2021-06-02,9
2021-06-03,9
2021-06-04,7
2021-06-05,13
2021-06-06,13
2021-06-07,10
2021-06-08,9
2021-06-10,11
2021-06-11,11
2021-06-12,7
2021-06-13,8
2021-06-14,9
2021-06-15,9
2021-06-16,12
2021-06-17,13
2021-06-18,9
2021-06-19,3
2021-06-20,4
2021-06-21,4
2021-06-22,5
2021-06-23,4
2021-06-24,6
2021-06-25,8
2021-06-26,11
2021-06-27,6
2021-06-28,4
2021-06-29,5
2021-06-30,8
2021-07-01,10
2021-07-02,9
2021-07-03,6
2021-07-04,7
2021-07-05,5
2021-07-06,8
2021-07-07,7
2021-07-08,4
2021-07-09,9
2021-07-10,11
2021-07-11,17
2021-07-12,7
2021-07-13,5
2021-07-14,5
2021-07-15,5
2021-07-16,10
2021-07-17,9
2021-07-18,8
2021-07-19,7
2021-07-20,11
2021-07-21,15
2021-07-22,14
2021-07-23,14
2021-07-24,7
2021-07-25,6
2021-07-26,10
2021-07-27,16
2021-07-28,7
2021-07-29,21
2021-07-30,6
2021-07-31,5
2021-08-01,5
2021-08-02,5
2021-08-03,10
2021-08-04,9
2021-08-05,8
2021-08-06,6
2021-08-07,6
2021-08-08,6
2021-08-09,20
2021-08-10,31
2021-08-11,28
2021-08-12,15
2021-08-18,11
2021-08-19,11
2021-08-20,12
2021-08-21,7
2021-08-22,9
2021-08-23,10
2021-08-24,12
2021-08-25,20
2021-08-26,20
2021-08-27,7
2021-08-28,5
2021-08-29,4
2021-08-30,8
2021-08-31,15
2021-09-01,37
2021-09-02,27
2021-09-03,15
2021-09-04,6
2021-09-05,15
2021-09-06,13
2021-09-07,7
2021-09-08,12
2021-09-09,11
2021-09-10,5
2021-09-11,3
2021-09-12,8
2021-09-13,21
2021-09-14,35
2021-09-15,21
2021-09-16,13
2021-09-17,10
2021-09-20,5
2021-09-21,3
2021-09-22,4
2021-09-23,6
2021-09-24,36
2021-09-25,20
2021-09-26,3
2021-09-27,4
2021-09-28,5
2021-09-29,5
2021-09-30,9
2021-10-01,9
2021-10-02,12
2021-10-03,10
2021-10-04,4
2021-10-05,5
2021-10-06,6
2021-10-07,7
2021-10-08,9
2021-10-09,4
2021-10-10,7
2021-10-11,7
2021-10-12,8
2021-10-13,5
2021-10-14,7
2021-10-15,12
2021-10-16,10
2021-10-17,13
2021-10-18,13
2021-10-19,13
2021-10-20,9
2021-10-21,6
2021-10-22,3
2021-10-23,4
2021-10-24,7
2021-10-25,9
2021-10-26,8
2021-10-27,12
2021-10-28,10
2021-10-29,13
2021-11-03,4
2021-11-04,7
2021-11-05,4
2021-11-06,6
2021-11-07,12
2021-11-08,9
2021-11-09,10
2021-11-10,9
2021-11-11,19
2021-11-12,10
2021-11-13,12
2021-11-14,10
2021-11-15,3
2021-11-16,7
2021-11-17,5
2021-11-18,7
2021-11-19,6
2021-11-20,5
2021-11-21,8
2021-11-22,7
2021-11-23,5
2021-11-24,7
2021-11-25,6
2021-11-26,8
2021-11-27,4
2021-11-28,3
2021-11-29,4
2021-11-30,9
2021-12-01,13
2021-12-02,5
2021-12-03,5
2021-12-04,5
2021-12-05,2
2021-12-06,3
2021-12-07,7
2021-12-08,3
2021-12-09,3
2021-12-10,5
2021-12-11,6
2021-12-12,9
2021-12-13,9
2021-12-14,9
2021-12-15,8
2021-12-16,11
2021-12-17,10
2021-12-18,11
2021-12-19,7
2021-12-20,12
2021-12-21,18
2021-12-22,13
2021-12-23,10
2021-12-24,7
2021-12-25,3
2021-12-26,5
2021-12-27,3
2021-12-28,3
2021-12-29,10
2021-12-30,10
2021-12-31,12
2022-01-01,13
2022-01-02,12
2022-01-03,18
2022-01-04,10
2022-01-05,4
2022-01-06,6
2022-01-07,9
2022-01-08,14
2022-01-09,6
2022-01-10,5
2022-01-11,7
2022-01-12,4
2022-01-13,5
2022-01-14,6
2022-01-15,11
2022-01-16,18
2022-01-17,15
2022-01-18,11
2022-01-19,12
2022-01-20,6
2022-01-21,4
2022-01-22,7
2022-01-23,7
2022-01-24,7
2022-01-25,6
2022-01-26,8
2022-01-27,7
2022-01-28,8
2022-01-29,7
2022-01-30,9
2022-01-31,11
2022-02-01,3
2022-02-02,9
2022-02-03,15
2022-02-04,18
2022-02-05,10
2022-02-06,5
2022-02-07,7
2022-02-08,5
2022-02-09,9
2022-02-10,17
2022-02-11,19
2022-02-12,10
2022-02-13,11
2022-02-14,4
2022-02-15,6
2022-02-16,5
2022-02-17,12
2022-02-18,14
2022-02-19,4
2022-02-20,5
2022-02-21,7
2022-02-22,5
2022-02-23,8
2022-02-24,7
2022-02-25,6
2022-02-26,5
2022-02-27,7
2022-02-28,9
2022-03-01,10
2022-03-02,5
2022-03-03,8
2022-03-04,2
2022-03-05,3
2022-03-06,4
2022-03-07,5
2022-03-08,3
2022-03-09,6
2022-03-10,8
2022-03-11,5
2022-03-12,3
2022-03-13,3
2022-03-14,11
2022-03-15,65
2022-03-16,25
2022-03-17,4
2022-03-18,4
2022-03-19,7
2022-03-20,5
2022-03-21,3
2022-03-22,3
2022-03-23,5
2022-03-24,5
2022-03-25,7
2022-03-26,6
2022-03-27,8
2022-03-28,14
2022-03-29,17
2022-03-30,7
2022-03-31,6
2022-04-01,4
2022-04-02,3
2022-04-03,3
2022-04-04,5
2022-04-05,7
2022-04-06,7
2022-04-07,7
2022-04-08,4
2022-04-09,5
2022-04-10,5
2022-04-11,7
2022-04-12,3
2022-04-13,6
2022-04-14,3
2022-04-15,6
2022-04-16,6
2022-04-17,6
2022-04-18,6
2022-04-19,6
2022-04-20,3
2022-04-21,3
2022-04-22,3
2022-04-23,2
2022-04-24,5
2022-04-25,5
2022-04-26,10
2022-04-27,6
2022-04-28,6
2022-04-29,7
2022-04-30,14
2022-05-01,14
2022-05-02,8
2022-05-03,5
2022-05-04,6
2022-05-05,10
2022-05-06,5
2022-05-07,5
2022-05-08,6
2022-05-09,7
2022-05-10,8
2022-05-11,11
2022-05-12,10
2022-05-13,8
2022-05-14,18
2022-05-15,9
2022-05-16,8
2022-05-17,6
2022-05-18,10
2022-05-19,16
2022-05-20,12
2022-05-21,13
2022-05-22,16
2022-05-23,9
2022-05-24,5
2022-05-25,4
2022-05-26,5
2022-05-27,4
2022-05-28,7
2022-05-29,15
2022-05-30,11
2022-05-31,10
2022-06-01,8
2022-06-02,12
2022-06-03,9
2022-06-04,9
2022-06-05,7
2022-06-06,11
2022-06-07,11
2022-06-08,16
2022-06-09,16
2022-06-10,10
2022-06-11,28
2022-06-12,13
2022-06-13,17
2022-06-14,30
2022-06-15,41
2022-06-16,40
2022-06-17,33
2022-06-18,26
2022-06-19,18
2022-06-20,20
2022-06-21,9
2022-06-22,8
2022-06-23,21
2022-06-24,14
2022-06-25,11
2022-06-26,10
2022-06-27,8
2022-06-28,12
2022-06-29,13
2022-06-30,8
2022-08-17,4
2022-08-18,4
2022-08-19,5
2022-08-20,7
2022-08-21,11
2022-08-22,7
2022-08-23,11
2022-08-24,16
2022-08-25,14
2022-08-26,13
2022-08-27,13
2022-08-28,15
2022-08-29,19
2022-08-30,9
2022-08-31,6
2022-09-01,9
2022-09-02,7
2022-09-03,6
2022-09-04,7
2022-09-05,9
2022-09-06,5
2022-09-07,6
2022-09-08,8
2022-09-09,7
2022-09-10,5
2022-09-11,14
2022-09-12,16
2022-09-13,15
2022-09-14,8
2022-09-15,10
2022-09-16,7
2022-09-17,2
2022-09-18,17
2022-09-19,33
2022-09-20,15
2022-09-21,10
2022-09-22,9
2022-09-23,9
2022-09-24,5
2022-09-25,2
2022-09-26,4
2022-09-27,7
2022-09-28,5
2022-09-29,4
2022-09-30,4
2022-10-01,7
2022-10-02,10
2022-10-03,10
2022-10-04,22
2022-10-05,23
2022-10-06,12
2022-10-07,11
2022-10-08,11
2022-10-09,11
2022-10-10,16
2022-10-11,15
2022-10-12,7
2022-10-13,7
2022-10-14,13
2022-10-15,11
2022-10-16,12
2022-10-17,15
2022-10-18,14
2022-10-19,18
2022-10-20,9
2022-10-21,11
2022-10-22,9
2022-10-23,11
2022-10-24,6
2022-10-25,5
2022-10-26,14
2022-10-27,15
2022-10-28,17
2022-10-29,12
2022-10-30,14
2022-10-31,15
2022-11-01,9
2022-11-02,7
2022-11-03,8
2022-11-04,3
2022-11-05,8
2022-11-06,11
2022-11-07,13
2022-11-08,11
2022-11-09,6
2022-11-10,8
2022-11-11,6
2022-11-12,7
2022-11-13,9
2022-11-14,12
2022-11-15,5
2022-11-16,4
2022-11-17,9
2022-11-18,4
2022-11-19,5
2022-11-20,4
2022-11-21,3
2022-11-22,4
2022-11-23,7
2022-11-24,6
2022-11-25,4
2022-11-26,10
2022-11-27,14
2022-11-28,5
2022-11-29,11
2022-11-30,16
2022-12-01,8
2022-12-02,11
2022-12-03,19
2022-12-04,18
2022-12-05,15
2022-12-06,16
2022-12-07,20
2022-12-08,8
2022-12-09,6
2022-12-13,15
2022-12-14,3
2022-12-15,4
2022-12-16,7
2022-12-17,11
2022-12-18,10
2022-12-19,16
2022-12-20,16
2022-12-21,6
2022-12-22,4
2022-12-23,4
2022-12-24,10
2022-12-25,11
2022-12-26,13
2022-12-27,15
2022-12-28,15
2022-12-29,12
2022-12-30,7
2022-12-31,13
2023-01-01,14
2023-01-02,8
2023-01-03,9
2023-01-04,10
2023-01-05,10
2023-01-06,19
2023-01-07,23
2023-01-08,6
2023-01-09,5
2023-01-10,12
2023-01-11,10
2023-01-12,13
2023-01-13,22
2023-01-14,29
2023-01-15,11
2023-01-16,4
2023-01-17,3
2023-01-18,3
2023-01-19,5
2023-01-20,7
2023-01-21,8
2023-01-22,6
2023-01-23,11
2023-01-24,9
2023-01-25,8
2023-01-26,10
2023-01-27,8
2023-01-28,6
2023-01-29,6
2023-01-30,8
2023-01-31,21
2023-02-01,12
2023-02-02,16
2023-02-03,14
2023-02-04,13
2023-02-05,8
2023-02-06,6
2023-02-07,6
2023-02-08,6
2023-02-09,6
2023-02-10,8
2023-02-11,8
2023-02-12,8
2023-02-13,10
2023-02-14,11
2023-02-15,13
2023-02-16,13
2023-02-17,11
2023-02-18,9
2023-02-19,12
2023-02-20,11
2023-02-21,15
2023-02-22,30
2023-02-23,14
2023-02-24,5
2023-02-25,11
2023-02-26,12
2023-02-27,6
2023-02-28,7
2023-03-01,10
2023-03-02,11
2023-03-03,14
2023-03-04,9
2023-03-05,13
2023-03-06,9
2023-03-07,4
2023-03-08,3
2023-03-09,5
2023-03-10,6
2023-03-11,5
2023-03-12,7
2023-03-13,11
2023-03-14,6
2023-03-15,8
2023-03-16,9
2023-03-17,7
2023-03-18,4
2023-03-19,5
2023-03-20,7
2023-03-21,9
2023-03-22,9
2023-03-23,8
2023-03-24,6
2023-03-25,5
2023-03-26,5
2023-03-27,8
2023-03-28,7
2023-03-29,11
2023-03-30,8
2023-03-31,6
2023-04-01,6
2023-04-02,4
2023-04-03,6
2023-04-04,4
2023-04-05,4
2023-04-06,4
2023-04-07,7
2023-04-08,7
2023-04-09,18
2023-04-10,24
2023-04-11,8
2023-04-12,6
2023-04-13,4
2023-04-14,4
2023-04-15,7
2023-04-16,4
2023-04-17,4
2023-04-18,6
2023-04-19,9
2023-04-20,10
2023-04-21,12
2023-04-22,7
2023-04-23,5
2023-04-24,7
2023-04-25,8
2023-04-26,7
2023-04-27,7
2023-04-28,13
2023-04-29,13
2023-04-30,5
2023-05-01,4
2023-05-02,6
2023-05-03,9
2023-05-04,6
2023-05-05,9
2023-05-06,10
2023-05-07,6
2023-05-08,10
2023-05-09,8
2023-05-10,5
2023-05-11,6
2023-05-12,3
2023-05-13,4
2023-05-14,5
2023-05-15,6
2023-05-16,6
2023-05-17,8
2023-05-18,9
2023-05-19,8
2023-05-20,9
2023-05-21,8
2023-05-22,10
2023-05-23,18
2023-05-24,9
2023-05-25,18
2023-05-26,22
2023-05-27,22
2023-05-28,19
2023-05-29,15
2023-05-30,18
2023-05-31,11
2023-06-01,11
2023-06-02,10
2023-06-03,14
2023-06-04,15
2023-06-06,12
2023-06-07,15
2023-06-08,8
2023-06-09,5
2023-06-10,5
2023-06-11,5
2023-06-12,5
2023-06-13,7
2023-06-14,3
2023-06-15,9
2023-06-16,10
2023-06-17,17
2023-06-18,18
2023-06-19,28
2023-06-20,15
2023-06-21,8
2023-06-22,19
2023-06-23,17
2023-06-25,18
2023-06-26,8
2023-06-27,17
2023-06-28,24
2023-06-29,16
2023-06-30,2
2023-07-01,8
2023-07-02,12
2023-07-03,16
2023-07-04,10
2023-07-05,11
2023-07-06,16
2023-07-07,16
2023-07-08,8
2023-07-09,10
2023-07-10,13
2023-07-11,17
2023-07-12,9
2023-07-13,7
2023-07-14,13
2023-07-15,7
2023-07-16,8
2023-07-17,12
2023-07-18,20
2023-07-19,16
2023-07-20,12
2023-07-21,9
2023-07-22,9
2023-07-23,23
2023-07-24,8
2023-07-25,7
2023-07-26,9
2023-07-27,11
2023-07-28,11
2023-07-29,9
2023-07-30,7
2023-07-31,13
2023-08-01,9
2023-08-02,15
2023-08-03,11
2023-08-04,4
2023-08-05,4
2023-08-06,5
2023-08-07,8
2023-08-08,18
2023-08-09,23
2023-08-10,13
2023-08-11,11
2023-08-12,12
2023-08-13,19
2023-08-14,8
2023-08-15,11
2023-08-16,13
2023-08-17,11
2023-08-18,7
2023-08-19,8
2023-08-20,5
2023-08-21,15
2023-08-22,12
2023-08-23,8
2023-08-24,13
2023-08-25,23
2023-08-26,12
2023-08-27,3
2023-08-28,4
2023-08-29,3
2023-08-30,6
2023-08-31,6
2023-09-01,11
2023-09-02,23
2023-09-05,28
2023-09-06,20
2023-09-07,21
2023-09-08,28
2023-09-10,4
2023-09-11,3
2023-09-12,3
2023-09-13,3
2023-09-14,3
2023-09-15,4
2023-09-16,4
2023-09-17,3
2023-09-18,4
2023-09-19,6
2023-09-20,8
2023-09-21,5
2023-09-22,5
2023-09-23,6
2023-09-24,8
2023-09-25,10
2023-09-26,11
2023-09-27,12
2023-09-28,15
2023-09-29,13
2023-09-30,14
2023-10-01,12
2023-10-02,10
2023-10-03,13
2023-10-04,13
2023-10-05,17
2023-10-06,15
2023-10-07,15
2023-10-08,12
2023-10-09,7
2023-10-10,4
2023-10-11,16
2023-10-12,3
2023-10-13,3
2023-10-14,4
2023-10-15,3
2023-10-16,4
2023-10-17,4
2023-10-18,5
2023-10-19,5
2023-10-20,3
2023-10-21,3
2023-10-22,2
2023-10-23,3
2023-10-24,3
2023-10-25,3
2023-10-26,3
2023-10-27,2
2023-10-28,3
2023-10-29,2
2023-10-30,3
2023-10-31,3
2023-11-01,3
2023-11-02,3
2023-11-03,2
2023-11-04,3
2023-11-05,3
2023-11-06,3
2023-11-07,4
2023-11-08,5
2023-11-09,5
2023-11-10,5
2023-11-11,5
2023-11-12,6
2023-11-13,7
2023-11-14,9
2023-11-15,10
2023-11-16,10
2023-11-17,11
2023-11-18,10
2023-11-19,8
2023-11-20,9
2023-11-21,5
2023-11-22,4
2023-11-23,5
2023-11-24,9
2023-11-25,13
2023-11-26,10
2023-11-27,14
2023-11-28,7
2023-11-29,6
2023-11-30,5
2023-12-01,5
2023-12-02,5
2023-12-03,8
2023-12-04,5
2023-12-05,4
2023-12-06,6
2023-12-07,14
2023-12-08,5
2023-12-09,5
2023-12-10,5
2023-12-11,7
2023-12-12,11
2023-12-13,4
2023-12-14,4
2023-12-15,5
2023-12-16,10
2023-12-17,11
2023-12-18,13
2023-12-19,17
2023-12-20,11
2023-12-21,11
2023-12-22,12
2023-12-23,9
2023-12-24,7
2023-12-25,15
2023-12-26,27
2023-12-27,21
2023-12-28,24
2023-12-29,27
2023-12-30,20
2023-12-31,10
